Artist,Tracks,Hours,Genres
The Dead Weather,23,0.00,blues rock|garage rock revival|usa|américain|american|alternative rock|garage rock
Flume,23,0.00,alternative r&b|glitch pop|wonky|uk bass|alternative pop|experimental electronic|future bass|trap edm|chillout|flumestep|hip hop|electronic|edm
Tides of Man,23,0.00,alternative|progressive|post-rock|rock|instrumental rock|experimental|post-hardcore|progressive rock|indie
Karmic Juggernaut,23,1.60,Unknown
Ella Fitzgerald,23,0.90,pop|jazz|american|blues|ballads|swing|big band|vocal jazz|live|classic pop and rock|standards|death by diabetes|2008 universal fire victim|aln-sh
Unleash the Archers,23,2.10,metal|power metal
Impureza,23,1.60,flamenco|technical death metal
Diabys,23,2.00,Unknown
Vince Guaraldi Trio,22,0.70,jazz
The Bravery,22,0.00,indie|rock|alternative|indie rock|american
Yukimi,22,1.10,Unknown
Zeds Dead,22,0.00,edm|electronic|drum and bass|dubstep|electro house|bass
Sungazer,22,0.10,jazz fusion|jazz|fusion|electronic|math rock|nu jazz|wonky|experimental
Cuco,22,0.30,bedroom pop|indie pop
Synestia,22,1.80,symphonic deathcore|symphonic black metal|symphonic metal|deathcore
Tabletop RPG Music,22,0.60,ttrpg
Band of Skulls,22,0.00,blues rock|indie rock|garage rock|seen live|alternative rock|rock|indie
Bishop Briggs,22,0.00,alternative rock|indie rock|electronic|soul|folk|indie pop
Sutrah,22,2.30,death metal|progressive death metal
Lennon Stella,22,0.00,Unknown
Shayfer James,22,0.00,dark cabaret|singer-songwriter|noir-pop|indie|rock|pop|pop rock
Dan Terminus,22,0.00,electronic|synthwave|vaporwave|darksynth
Satyr,22,1.40,post-hardcore
Blindfolded and Led to the Woods,22,1.80,dissonant death metal|deathcore|death metal|progressive metal|progressive death metal|technical death metal|new zealand|metal|technical metal
Krewella,22,0.00,trap edm|electronic dance|drum and bass|progressive house|electro house|hardstyle|dubstep|trap|techno|edm|electronic rock|dance-pop|electropop
Rag’n’Bone Man,22,0.00,pop soul|seen live|punk|scotland|soul|neo soul|blues|uk|r&b
Nick Johnston,22,0.70,Unknown
Pretty Lights,22,0.00,electronic|downtempo|seen live|hip hop|electronica|soul|trip hop|nu jazz|glitch hop|instrumental hip hop
Thelonious Monk,22,0.00,jazz|american|post-bop|hard bop|big band|bebop|cool jazz|jazz and blues|stride
potsu,22,0.00,lo-fi|indie pop|lo-fi hip hop
saib.,22,0.00,downtempo|instrumental|chillout|ambient|hip hop|lo-fi|boom bap|chillwave|instrumental hip hop|lo-fi hip hop
μ‐Ziq,22,1.70,electronic|jungle|experimental|british|idm|uk|breaks|drill and bass
JOYRYDE,21,0.00,electronic|dubstep|house|bass|electro house|hard house|trap|future house|bass house
ERRA,21,1.50,progressive metal|metalcore|post-hardcore|melodic metalcore|technical metalcore|progressive metalcore
Necrophagist,21,1.40,metal|death metal|technical death metal|progressive death metal
Burning Palace,21,2.10,technical death metal
Justin Timberlake,21,0.00,pop|electropop|disco|2000s|dance-pop|boogie|neo soul|pop and chart|r&b|contemporary r&b|synth funk
Kanonenfieber,21,1.30,blackened death metal|melodic black metal|post black metal|black metal|metal|melodic death metal|death metal|atmospheric black metal|post-metal
Charles Mingus,21,0.00,jazz|american|pianist|composer|post-bop|hard bop|bebop|avant-garde jazz|soul jazz|double bassist|bandleader|third stream|experimental big band|server name|2008 universal fire victim
Incantation,21,1.40,metal|american|death metal
Merrow,21,1.50,Unknown
The Safety Fire,21,1.70,progressive metal|progressive|djent|math metal
Summoning the Lich,21,1.30,melodic death metal|technical death metal|deathcore
Louis the Child,21,0.10,electronic|pop|dubstep|dance|electronica|grime|club|edm|deep dubstep|trap|future bass|bass house
Yes,21,1.60,rock|electronic|progressive rock|70s|80s|90s|folk|pop-rock|british|uk|60s|hard rock|progressive|synth-pop|disco|psychedelic rock|art rock|classic rock|2000s|pop rock|symphonic rock|garage rock|english|aor|symphonic prog|classic pop and rock|yes|male vocalists|progressive pop|pop/rock|mario939393|2010s|7567826842|montreaux
Decapitated,21,1.50,metal|death metal|technical death metal|brutal death metal|poland
Lorien Testard,21,0.60,france|vgm|video game music
FROGG,21,1.50,funk|gangsta rap|hip hop
San Holo,21,0.10,electronic|edm|trap|future bass
Seven Spires,21,1.60,metal|power metal|symphonic metal
Mark Ronson,21,0.00,rock|pop|alternative rock|dance|hip-hop|hip hop|funk|soul|synth-pop|electropop|dance-pop|jazz pop|english|united kingdom|pop and chart|pop soul|nu disco|synth funk
Son of Aurelius,21,1.50,usa|progressive death metal|deathcore|technical death metal|death metal
Eric Clapton,21,0.00,rock|pop|blues|british|reggae|hard rock|psychedelic rock|blues rock|soft rock|pop rock|electric blues|british blues|classic pop and rock|acoustic blues|clapton|eric clapton|pop/rock|24 nights|montreux|british rhythm & blues|has german audiobooks|2008 universal fire victim
Karnivool,20,1.40,progressive rock|heavy prog|alternative rock|rock|australian
At the Gates,20,1.00,swedish|gothenburg|melodic death metal|metal|death metal|swedish death metal|gothenburg metal|rock and indie
Frank Sinatra,20,0.00,pop|jazz|easy listening|vocal|lounge|baroque pop|christmas|swing|big band|vocal jazz|columbia|easy listening soundtracks and musicals|singers|standards|traditional pop|acting|ultimate|singing|christmas music|actors|garland|chrismas|duets|swing; jazz; big band; christmas|my way|motion pictures--production and direction|motion picture producers and directors
MGMT,20,0.00,rock|pop|american|new wave|usa|indie rock|synth-pop|producer|psychedelic rock|américain|indie pop|psychedelic pop|neo-psychedelia|indietronica|producteur|ingénieur du son|sound engineer|rock and indie|hypnagogic pop
Blackbraid,20,1.60,black metal|atmospheric black metal
Leftfield,20,0.30,electronic|downtempo|british|uk|dub|electronica|leftfield|progressive house|english|trip hop|rock and indie
Saint Motel,20,0.00,indie rock|progressive pop|pop rock
Dan Deacon,20,0.00,new weird america|indietronica|experimental electronic|glitch|progressive electronic|neo-psychedelia|post-minimalism|electronic|classic pop and rock
BBC Symphony Orchestra, Antal Doráti & Béla Bartók,20,0.50,classical|hungarian|opera|composer|european|hungary|20th century|modern classical|concerto for orchestra|hungarian composer|concerto pour orchestre|magyar
Sturgill Simpson,20,0.00,bluegrass|country|americana|outlaw country
Gydra,20,0.20,drum and bass|neurofunk|ru
The Syncope Threshold,20,1.00,Unknown
idealism,20,0.00,downtempo|instrumental|hip hop|lo-fi|boom bap|chillwave|instrumental hip hop|lo-fi hip hop
London Symphony Orchestra,20,1.20,star wars|british orchestra|classical|symphony orchestra|orchestra
Beck,20,0.10,rock|electronic|pop|alternative rock|american|singer-songwriter|usa|indie rock|folk rock|electronica|funk rock|alternative|américain|psychedelic pop|experimental rock|indie folk|anti-folk|alternative dance|rock and indie|united states|singer/songwriter|lo-fi indie|slacker rock|permanent wave|2008 universal fire victim
Arctic Monkeys,20,0.00,alternative rock|british|uk|britannique|2007|indie rock|indie|psychedelic rock|art rock|baroque pop|soft rock|psychedelic pop|garage rock revival|post-punk revival|garage rock|neo-psychedelia|english|domino|sheffield|epic|rock and indie|cool|gamer|tumblr
DANCE WITH THE DEAD,20,0.10,electronic|pop rock|electronic pop|experimental electronic|dance music|synthwave|darksynth|dark synthwave
Skinshape,20,0.10,alternative rock|folk|experimental|british|alternative|psychedelic rock|psychedelic|bedroom pop
Little Simz,20,1.20,hip hop|uk|pop rap|rapper
Queensrÿche,20,1.00,heavy metal|progressive metal|metal|american|hard rock|power metal|fantasy|us power metal|technology|love|rock and indie|gratuitous heavy metal umlaut|politics|humanity|estados unidos
Jay‐Z,20,0.10,pop|rap|hip-hop|hip hop|hiphop|pop rap|rapper|us|mashup|hip hop rnb and dance hall|united states|grammy winner|boom bap|east coast hip hop|hardcore hip hop|new york hip hop|luxury rap|relic inn|chipmunk soul
The Dead South,20,0.00,alt-folk|rock|bluegrass fusion|bluegrass|americana|folk|folk rock
Joyner Lucas,20,0.00,hip hop|east coast hip hop
Sentinels,19,0.60,Unknown
Adam Benjamin,19,0.20,Unknown
kudasaibeats,19,0.00,lo-fi hip hop|hip hop|chillwave|instrumental hip hop|lo-fi|downtempo|instrumental|boom bap
Defeated Sanity,19,1.00,technical death metal|germany|brutal death metal|death metal
Faith Evans,19,0.00,soul|hip hop rnb and dance hall|contemporary r&b
Giraffage,19,0.00,electronic|chill|dreampop|indie|lo-fi
Good Tiger,19,1.10,progressive rock|progressive metal|math rock|alternative metal|post-hardcore|alternative hardcore
Destiny Potato,19,1.20,djent|alternative metal|progressive metal|hard rock
MOONZz,19,0.20,Unknown
Genghis Tron,19,1.10,experimental|electronic|mathcore|doom metal|cybergrind|grindcore|heavy metal|metal|post-rock|power noise|rock
Handsome Boy Modeling School,19,0.00,hip-hop|hip hop
The Run-Up,19,2.90,punk|alternative punk|alternative indie
Cursed Mantis,19,0.50,punk|hardcore punk|crust punk|metalcore|rock and indie
Demon King,19,1.60,death metal|black metal|technical death metal|blackened death metal
of Montreal,19,0.00,funktronica|indietronica|funk|elephant 6|glam rock|synth-pop|rock|experimental|indie pop|american|electronic|psychedelic pop|usa|américain|art pop|indie rock|synthpop|neo-psychedelia
The Chainsmokers,19,0.00,electropop|future bass|electronic|2010s|edm|electro house|satire|dance-pop
Yppah,19,0.10,ambient|electronic|shoegaze|psychedelic|dream pop|breaks|experimental|dreamy|instrumental
Carcass,19,1.60,heavy metal|melodic death metal|metal|death metal|grindcore|liverpool|england|united kingdom|goregrind|carcass|death 'n' roll|_tidy|reino unido
Xaon,19,1.60,symphonic/death-metal
Jade Cicada,19,0.00,downtempo|electronic|drum and bass
We broke the weather,19,1.70,Unknown
Optical,19,0.20,drum and bass
Eliot Lipp,19,0.00,Unknown
Today I Caught the Plague,19,1.40,Unknown
Jai Wolf,19,0.00,edm|electronic|dance-pop
Vampire Weekend,19,0.00,rock|alternative rock|american|usa|indie rock|indie|alternative|composer|américain|baroque pop|indie pop|leftfield|neo-psychedelia|pop rap|afrobeat|chamber pop|indietronica|compositeur|rock and indie
Boy Robot,19,0.00,Unknown
Loathe,19,1.00,shoegaze|alternative metal|djent|metalcore
Purity Ring,19,0.80,dream pop|synthpop|witch house|futurepop
Novelists,19,1.00,progressive metal|metalcore|progressive|djent|progressive metalcore
Throne,18,1.10,norwegian|heavy metal|metal|death metal|black metal|norway|speed metal|crust punk|norwegian black metal|black 'n' roll
Ed Sheeran,18,0.10,pop|guitarist|folk|singer-songwriter|uk|singer|soft rock|dance-pop|pop rap|folk pop|rapper|pop soul|singer/songwriter|2010s|persian pop|ed sheeran does not make sillyname tracks ಠ_ಠ|gradually watermelon|music for soccer moms
Professor Caffeine & the Insecurities,18,1.30,Unknown
Oranssi Pazuzu,18,1.90,metal|finnish|black metal|experimental|psychedelic rock|psychedelic|abstract|avant-garde metal|psychedelic metal|space black metal|cosmos|psychedelic black metal|cosmic black metal|psychedelic/black-metal
Alcest,18,1.90,post-rock|shoegaze|black metal|post-metal|blackgaze
ProbCause,18,0.00,Unknown
Thundercat,18,0.00,electronic|pop|dance|house|hip hop|funk|neo-soul|electronica|soul|disco|psychedelic|jazz fusion|acid jazz|neo soul|rhythm and blues|free jazz|contemporary jazz|crossover thrash|nu jazz|psychedelia|funktronica|psychedelic soul|r&b|indie soul|alternative r&b|trap|future bass|yacht rock|afrofuturism|escape room|progressive r&b|electric jazz|astral jazz
Earthside,18,1.40,progressive rock|post-rock|progressive metal|instrumental
covet,18,0.00,post-rock|math rock
The Police,18,0.00,rock|alternative rock|punk|punk rock|british|post-punk|new wave|uk|indie rock|power pop|alternative|pop rock|reggae rock|english|england|the police|classic pop and rock|pop/rock|pop reggae|2008 universal fire victim
Abigail Williams,18,2.00,melodic death metal|deathcore|symphonic black metal|black metal|melodic black metal|metal
Patti Smith,18,0.80,rock|punk|blues|punk rock|singer-songwriter|hard rock|folk rock|glam rock|art rock|album rock|pop rock|garage rock|art punk|protopunk|classic pop and rock|proto-punk|singer/songwriter|punk/new wave|alternative singer/songwriter|new york punk|permanent wave
Chelsea Wolfe,18,1.20,rock|alternative rock|doom metal|singer-songwriter|dark wave|darkwave|gothic rock|ethereal wave|dark folk|doom folk
The Heavy,18,0.00,fixme (apekatt)|funk|soul|blues|uk|rock|fixme (catcat)
Bastille,18,0.00,rock|synthpop|uk|london|synth-pop|electropop|indie pop|pop rock|2010s
Kid Cudi,18,0.00,rap|hip hop|hiphop|pop rap|us|alternative hip hop|trap
WYS,18,0.00,lo-fi hip hop|hip hop|chillwave|instrumental hip hop|boom bap|lo-fi|downtempo|instrumental
Moonlit Sailor,18,0.00,indie rock|instrumental|records|moonlit|sailor|indie|rock|moonlit sailor|sweden|deep|epic|elm|deep elm records|post-rock|ambient
Manu Chao,18,0.00,rock|electronic|pop|80s|90s|rap|french|folk|punk|ska|france|reggae|country|spanish|world|world music|worldbeat|french pop|latin|english|rock en español|european|international|00s|musiques du monde|10s|multiple ipi|alternative latin|latin alternative|international fusion|latin alternative rock|music of latin america
Mandroid Echostar,18,0.00,alternative metal|experimental|progressive rock|progressive metal|progressive
Subterranean Masquerade,18,1.60,progressive rock|progressive metal|metal|hebrew|death metal|melodic|psychedelic rock|psychedelic|avant-garde metal|avant-garde|english|post-metal|oriental metal|israel|israeli|jewish|klezmer|eclectic|jewish music|sephardic|surreal|raga rock|quirky|introspective|identity|lush|longing|israeli music|sephardic music|oriental rock|ashkenazi|mizrahi music|mizrahi|ashkenazi music
Flaahgra,18,0.80,Unknown
Modern Day Babylon,18,0.60,progressive metal|djent|instrumental|math metal
Behold… the Arctopus,18,1.10,technical metal|technical prog metal|progressive metal|art metal|metal|avant-garde metal
nohidea.,18,0.00,Unknown
Ingurgitating Oblivion,17,1.40,avant-garde metal|metal|dissonant death metal|death metal|technical death metal
Goodnight, Texas,17,0.00,americana|folk rock|folk|alternative country
TOPAZ,17,0.00,Unknown
Scardust,17,1.40,progressive metal|metal|clean vocals|melodic|female vocals|symphonic metal|english|israel|technical|israeli|theatrical|harsh vocals
Halsey,17,0.10,pop|alternative rock|synth-pop|electropop|indie pop|pop rock|alternative pop|queer|r&b|contemporary r&b|2010s|alternative r&b|2020s
Trivium,17,0.70,heavy metal|progressive metal|thrash metal|metal|metalcore|melodic metalcore
The Dive LoL Podcast,17,0.00,belgian|electronic|ebm|electro-industrial
Immolation,17,1.00,metal|american|death metal
Oceansize,17,1.70,british|psychedelic rock|progressive rock|english|uk|alternative rock|post-rock|rock and indie
Raunchy,17,0.00,heavy metal|alternative metal|industrial metal|metalcore|metal|groove metal|melodic death metal
Native Construct,17,0.00,metal|progressive|progressive metal|progressive rock|experimental
BABYMETAL,17,1.10,industrial metal|metal|japanese|j-pop|j-rock|idol|alternative metal|awesome|pop metal|clean up|kawaii metal|babymetal|j-metal|idol metal|awe︎some|jmetal
B.B. King,17,0.80,blues|soul blues|soul|filmore|live|jazz and blues|electric blues|blues rock|urban blues|rhythm & blues|2008 universal fire victim
久石譲,17,0.00,soundtrack|classical|japanese|anime|pianist|composer|film score|contemporary classical|film composer|fixme label mess|studio ghibli|cinematic classical
Gaerea,17,1.50,black metal|blackened death metal|misanthropy|post-black metal|black-metal|self destruction|narcissism|mental numbness
Feed Me,17,0.00,edm|complextro|progressive house|house|midtempo bass|electro house|dubstep
Figueroa,17,0.00,pop|latin|ranchera
Flamingosis,17,0.00,instrumental|instrumental hip hop|hip hop
Lupe Fiasco,17,0.30,hip hop|hip-hop|political hip hop|abstract hip hop|rapper|hip hop rnb and dance hall|conscious hip hop|pop rap|alternative hip hop
Up First from NPR,17,4.60,Unknown
MASTER BOOT RECORD,17,0.50,electronic|industrial metal|metal|electro-industrial|awesome|chiptune|electronic metal|synthwave|awesomename|darksynth|video game remix|tracker music|chipmetal|chiptune metal
The Floozies,17,0.00,electro-funk
Ophidian Memory,17,1.70,melodic death metal
Ihlo,17,1.90,progressive rock|heavy metal|progressive metal|metal|melodic metal|prog rock|djent
Checks and Balance,17,0.00,Unknown
Northlane,17,1.10,electronic dance music|acoustic rock|industrial|melodic metalcore|alternative metal|industrial metal|djent|metal|progressive metalcore|metalcore|progressive metal|electro|nu metal
Jake Isaac,17,0.00,Unknown
The Lumineers,17,0.00,folk rock|americana|indie pop|indie folk|alternative country|piano rock|country folk|folk pop|stomp and holler
Ana Gasteyer,17,0.00,Unknown
Jean‐Michel Jarre,17,0.00,electronic|instrumental|ambient|french|france|francophone|français|lyon|electronica|new age|progressive trance|european|progressive electronic|classic pop and rock|space music
Tom Petty and the Heartbreakers,16,0.00,heartland rock|classic rock|rock and indie|folk rock|pop/rock|power pop|rock|pop rock|southern rock|2008 universal fire victim
Alluvial,16,1.10,instrumental|death metal|progressive metal|technical death metal
Akhlys,16,2.50,metal|black metal|drone|dark ambient|atmospheric black metal|ritual ambient
ELECTROMANCER,16,0.00,Unknown
Weezer,16,0.00,rock|pop|alternative rock|american|usa|power pop|emo|alternative|américain|post-grunge|weezer|pop rock|pop punk|garage rock|geek rock|alternative pop|punk pop|chamber pop|rock opera|nerd rock|rock and indie|emo pop|mainstream rock|self-titled|irvine|2008 universal fire victim|fort apache sound
Norse,16,1.30,Unknown
JYOCHO,16,0.80,math rock
Jonathan Batiste,16,0.00,Unknown
Hope for the Dying,16,1.20,progressive metal|hope for the dying|progressive metalcore|melodic death metal|metalcore
Ryuichi Sakamoto,16,0.00,electronic|soundtrack|classical|ambient|japanese|experimental|idm|world|minimal|piano|electronica|composer|glitch|avant-garde|film score|contemporary classical|japan|composers|synth pop|progressive electronic|modern classical|experimental electronic|original score|academy award winner|experimental ambient|art pop|international fusion|likedis auto|city pop|compositional ambient|pianists|experimental electro|japanese classical|japanese contemporary classical|japanese soundtrack
SaraoMusic,16,0.00,Unknown
Washed Out,16,0.00,synthpop|neo-psychedelia|dream pop|nu-disco|chillwave|electronic
Cara Neir,16,0.50,Unknown
BOOTS,16,0.10,electronic|indie rock|hip hop|contemporary r&b
Dabin,16,0.00,electronic|dubstep|house|electro house|edm|melodic dubstep
She & Him,16,0.60,alternative country|indie folk|indie pop
Shakey Graves,16,0.00,alternative country|indie rock|alternative rock|americana
Machine Gun Kelly,16,0.00,hard rock
Dizzee Rascal,16,0.00,trance|hip-hop|british|hip hop|uk|london|producer|pop rap|uk garage|english|grime|rapper|hip house|hip hop rnb and dance hall|mc|bow|e3|bassline|fidget house|uk hip hop|r&b|trap rap
Charlie Griffiths,16,1.60,progressive metal|metal
The Red Chord,16,0.70,technical death metal|technical grindcore|american|technical deathgrind|death metal|deathcore|metal|deathgrind|metalcore|grindcore
Glomewav,16,0.00,Unknown
The Postal Service,16,0.00,electronic|rock and indie|american|inditeronica|indietronica|inditronica|indie pop
The Correspondents,16,0.00,electronic|pop|jazz|electro|swing
Deafheaven,16,1.30,hipster|black metal|post-black metal|atmospheric black metal|introspection|philosophy|personal thoughts|abstract|melancholy|blackgaze|post-metal|shoegaze
Deftones,16,2.10,rock|alternative rock|shoegaze|metal|stoner rock|american|usa|nu metal|alternative|new metal|américain|art rock|stoner metal|experimental rock|alternative metal|post-metal|rock and indie|hard alternative
Unexpect,16,1.50,progressive metal|experimental|avant-garde metal|avant-garde|post-metal
Hexrot,15,1.40,death metal|progressive death metal
Maurizio Pollini & Frédéric Chopin,15,0.50,classical|french|polish|piano|composer|romantic|european|greatest hits|17|telerama|polish composer|ashkenazy|romantic classical|3111-35
Sharon Jones and the Dap‐Kings,15,0.60,funk|soul|classic pop and rock
Slice the Cake,15,1.30,metalcore|technical death metal|deathcore|progressive metal|progressive deathcore
Cheeto’s Magazine,15,1.80,metal|pop rock|progressive rock|progressive metal
The Deku Trio,15,0.60,Unknown
Within Temptation,15,1.10,metal|gothic metal|dutch|symphonic metal|symphonic rock|female fronted|holanda
Novembers Doom,15,1.40,metal|american|death metal|doom metal|death-doom metal|death doom metal
Arcane,15,2.20,pop rap|trap metal
Frost,15,1.30,british|uk|neo-progressive rock|progressive pop|rock|progressive rock|progressive|english
Analepsy,15,0.90,Unknown
The Reticent,14,1.70,progressive metal|progressive rock
Labyrinthus Stellarum,14,1.20,black metal|atmospheric black metal|space black metal
Karl Sanders,14,0.70,ambient|metal|american|experimental|technical death metal|brutal death metal
The Decemberists,14,1.20,rock|american|indie rock|folk rock|baroque pop|indie pop|indie folk|progressive folk|rock music|classic pop and rock
Photek,14,1.20,british|drum and bass|downtempo|jungle|english|uk
Xerath,14,1.10,progressive metal|metal|symphonic metal|groove metal|djent|symphonic progressive metal
Pyrrhon,14,0.90,death metal|metal|extreme metal|technical death metal|progressive metal|progressive death metal|mathcore|experimental
Cold Night for Alligators,14,1.10,progressive metal|experimental|deathcore|mathcore|djent
WILLOW,14,0.60,punk rock|nepo baby
Architects,14,0.90,metal|metalcore|british|alternative metal|rock and indie|electronic rock
Rina Sawayama,14,0.80,rock|pop|uk|singer|electropop|dance-pop|pop rock|alternative pop|model|r&b|contemporary r&b|2010s|art pop|y2k|alternative r&b|future house|kawaii metal|millennial|songwiter|2020s|y2kcore
Maynard Ferguson,14,0.90,jazz|jazz fusion|post-bop|hard bop|bebop|soul jazz|death by kidney failure|death by liver failure
Vitrified Entity,14,0.90,death metal|technical death metal
Kayo Dot,14,2.00,rock|post-rock|progressive rock|jazz|progressive metal|metal|american|experimental|art rock|drone|experimental rock|avant-garde metal|avant-garde|chamber|post-metal|avant-progressive rock|post-modern classicism|avant-prog
Art by Numbers,14,0.70,progressive rock|progressive metal|progressive|post-hardcore
Fates Warning,14,0.90,progressive rock|heavy metal|progressive metal|metal|power metal|us power metal
Iapetus,14,1.80,melodic death metal|death metal|progressive death metal|folk metal|neofolk|post-rock|progressive metal|acoustic metal|shoegaze|atmospheric metal|black metal|doom metal|metal|ambient
Caravan Palace,13,0.80,french|france|gypsy jazz|electro house|electro swing|fidget house|caravane palace
Acrania,13,0.80,death metal|technical death metal|thrash metal|avant-garde metal|jazz metal|latin metal|progressive metal
The Wonder Years,13,0.60,easycore|melodic hardcore|pop punk|emo|emo pop
Rishloo,13,1.10,alternative rock|progressive rock|progressive metal|progressive|crossover prog
Unreqvited,13,1.60,post-rock|shoegaze|ambient|metal|black metal|post-metal|melancholy|nature|blackgaze|emotions
Rings of Saturn,13,1.00,experimental|technical death metal|deathcore|progressive deathcore|technical deathcore
Pomegranate Tiger,13,0.90,djent|progressive|progressive rock|progressive metal|instrumental rock|math rock|instrumental
Porcelain Raft,13,0.60,dream pop
Promethee,13,0.80,Unknown
Origin,13,0.70,death metal|technical death metal|brutal death metal
Kalaveraztekah,13,1.20,progressive death metal|death metal
Archaeologist,12,0.70,Unknown
FM Collective,12,0.70,Unknown
Testament,12,1.10,80s|heavy metal|90s|thrash metal|metal|american|death metal|speed metal|groove metal|bay area|awesome|80s thrash metal|00s|american metal|american thrash metal|rock and indie|classic metal|10s|classic thrash metal|bay area thrash metal|estados unidos
Anata,12,0.90,metal|swedish|technical death metal|death metal
Tiktaalika,12,1.40,metal|progressive metal
Nubya Garcia,12,0.90,jazz|jazz fusion|contemporary jazz|spiritual jazz
Compasses,12,0.60,Unknown
Earth,12,0.90,pop|jazz|dance|american|funk|soul|disco|rnb|quiet storm|big band|hip hop rnb and dance hall|pop soul|psychedelic soul|smooth soul|september|r&b|contemporary r&b|afro pop|progressive soul
Pentatonix,12,0.60,close harmony|vocal|pop|a cappella
Wormed,12,0.90,death metal|technical death metal|brutal death metal|deathgrind
Evilyn,12,0.70,dissonant death metal|technical death metal
In Mourning,12,1.00,melodic death metal|progressive metal|metal|death metal|gothic metal|doom metal|progressive|progressive death metal|death-doom metal|progressive melodic death metal
SPIRIT OF THE BEEHIVE,12,0.60,indie rock|neo-psychedelia
Lör,12,1.30,power metal|folk metal|metal|progressive metal|eclectic|usa|united states|american|pennsylvania|english|energetic|folky|progressive folk metal|epic|uplifting
Laufey,12,0.70,pop|jazz|singer-songwriter|easy listening|bossa nova|vocal jazz|jazz pop|traditional pop
Minus the Bear,12,0.50,alternative rock|experimental|math rock|indie rock
Stromae,12,0.60,electropop|dance-pop|french pop|hip house|electro house|art pop|nouvelle chanson française
Benthos,12,0.80,Unknown
Glass Garden,12,0.80,Unknown
Lowen,12,1.20,arabic folk music|doom metal|heavy metal|stoner metal|prog|progressive|sludge|stoner|experimental|middle eastern|doom|metal|progressive metal
AUDREY NUNA,12,0.60,alternative r&b
AURORA,11,0.70,trance|synthpop|pop|norwegian|folk|dance|house|indie rock|deep house|techno|electronica|alternative|synth-pop|electropop|disco|norway|indie pop|tech house|dance-pop|dream pop|alternative dance|folk pop|chamber pop|alternative music|indietronica|edm|folktronica|folk-pop|norwegian pop|dark pop|alternative/indie rock|art pop|afro house|bass house|ポップ|left-field pop|organic house|nordic folk music|dj tools
paranoid void,11,0.60,Unknown
Agalloch,11,1.40,post-rock|progressive metal|metal|american|black metal|doom metal|stoner metal|folk metal|avant-garde metal|post-metal|atmospheric black metal|dark folk|atmospheric doom metal|progressive doom metal|post black|atmospheric folk metal
Svalbard,11,0.90,post-rock|post-hardcore|metal|hardcore|crust|punk
Strapping Young Lad,11,0.90,industrial metal|progressive metal|death metal
The Hirsch Effekt,11,1.20,progressive metal|symphonic rock|metal|art|core|postpunk|rock|philipp wende|the hirsch effekt|postcore|ilja lappin|experimental|mathcore|post-hardcore|nils wittrock
Marcus King,11,0.80,country
Necrotted,11,0.60,death metal|deathcore
Papangu,11,0.90,art rock|avant-prog|metal|progressive metal|sludge metal|zeuhl|progressive rock|avant-garde metal
Rendezvous Point,11,0.90,metal|progressive metal
Severed Savior,11,0.60,technical death metal|brutal death metal|death metal
McKinley Dixon,11,0.60,jazz rap|hip hop
Morbid Angel,11,0.70,metal|death metal
Children of Bodom,11,0.80,melodic death metal|metal|finnish|death metal|power metal|finland|rock and indie|finlandia
Emarosa,11,0.60,Unknown
Harmonic 313,11,0.70,electronica
Virvum,11,1.00,death metal|progressive death metal|progressive metal|technical death metal
Invent Animate,11,0.80,progressive metal|progressive metalcore|djent|metalcore
MEER,11,1.00,pop|rock|progressive rock|art rock|english
Amun,11,3.00,black metal|experimental|folk metal
Disperse,11,0.90,progressive rock|progressive|djent|progressive metal
Desultor,11,0.60,Unknown
Coevality,11,1.40,Unknown
Xanthochroid,11,0.90,progressive black metal|progressive metal
Anarchÿ,11,2.10,Unknown
Alpine,11,0.70,alternative|australian|00s|80s|alternative rock|ambient|aus|aussie|australia|chillout|dream|electronica|ethereal|famous|female|female vocals|fun|indie|synth pop|birp|dance|pop|electro|electronic|female vocalists
Cannibal Corpse,11,0.70,metal|death metal|brutal death metal|alliteration|estados unidos
Thy Art Is Murder,10,0.70,hardcore|technical deathcore|death metal|deathcore
Malevolence,10,0.60,groove metal|hardcore|metalcore
Borknagar,10,1.10,norwegian metal|progressive metal|norwegian|progressive black metal|black metal|viking metal|metal
Black Peaks,10,0.90,post-hardcore|progressive metal|math rock|rock|alternative metal|progressive rock
Chercán,10,0.90,Unknown
Deadborn,10,0.70,technical death metal
Disembodied Tyrant,10,0.80,deathcore|blackened death metal|symphonic black metal|symphonic metal|symphonic deathcore|progressive deathcore|blackened deathcore|progressive|black metal|technical deathcore
Disillusion,10,1.30,metal|melodic death metal|death metal|progressive death metal|progressive metal
Untamed Land,10,1.30,black metal|epic black metal
Ions,10,0.80,Unknown
Trope,10,0.60,Unknown
Týr,10,0.70,folk metal|power metal|viking metal|epic metal|faroe islands|faroese|metal|progressive metal|runic script
Farseer,10,1.10,Unknown
Viscera,10,0.70,Unknown
Ephel Duath,10,0.80,progressive metal|experimental|jazz metal|avant-garde metal|avant-garde
Gigan,10,1.10,death metal|psychedelic|united states|psychedelic metal|metal|technical death metal|dissonant death metal|experimental|grindcore|experimental technical death metal|extreme metal|avant-garde metal
Kanine,10,0.50,Unknown
Dark Matter Secret,10,0.90,Unknown
Resuscitate,10,1.50,Unknown
Aaru,10,0.70,Unknown
The Real Sarahs & Alex de Grassi,10,0.60,new age|folk|guitarist
